POST,avgage,avgwhite,avgtenure,avgorgfarir1,avgorgfair2,avgservlead1,avgpsm1,avgintfair2,avgintfair6,avgdiversityclimate1,avgdiversityclimate3,avgcontactpressure,avgarrestpressure,avgphysicalharm,avgverbalconfrontation,avgdobserved_excluded,avgobserved_discrimated,avgyou_excluded,avgyou_discrimated,orgfair1agree,orgfair2agree,servlead2agree,psm1agree,intfair2agree,intfair6agree,diversityclimate1agree,diversityclimate3agree,diversityclimate4agree,contactpressureagree,arrestpressureagree,physicalharmagree,verbalconfrontationagree,morale_3agree,morale_4agree,empower_2agree,work_helps_comm_2agree,force_policy_2agree,comm_citizen_3agree,force_policy_3agree,career_satisfactionagree,burnout_1agree,woman_not_suitableagree
44,36.46154,0.75,10.61539,1.846154,2,3.769231,4.384615,3.615385,3.307692,4.307693,4.230769,3.923077,3.692308,2.769231,3.846154,0.0909091,0.0909091,0.0909091,0.2727273,0.0625,0.125,0.625,0.8125,0.5,0.4375,0.8125,0.8125,0.4375,0.5,0.4375,0.125,0.5625,0.1875,0.4375,0.5625,0.4375,0.125,0.1875,0.1875,0.5,0,0.0625
45,36,0.5833333,10.28571,3.142857,2.714286,3.285714,4.285714,3.571429,3.285714,4.428571,3.571429,4.428571,3.714286,2.571429,3.857143,0.2222222,0.1111111,0.2222222,0.1111111,0.25,0.1666667,0.25,0.5,0.25,0.1666667,0.5,0.4166667,0.4166667,0.5,0.3333333,0,0.3333333,0.3333333,0.6666667,0.75,0.5833333,0,0.1666667,0.1666667,0.3333333,0.0833333,0
46,37.14286,0.9285714,13,2.615385,2.461539,3.384615,4.384615,3.833333,3.166667,4.7692310000000004,3.769231,3.461539,3.461539,2.615385,3.615385,0.4444444,0.4444444,0.2222222,0.2222222,0.2142857,0.2142857,0.5,0.9285714,0.6428571,0.5714286,0.9285714,0.5714286,0.5,0.5714286,0.5714286,0.0714286,0.5714286,0.2142857,0.3571429,0.5714286,0.2857143,0,0.0714286,0,0.5,0.0714286,0
47,34.5,0.5714286,11.1,3.1,3.2,3.9,4.2,4.111111,4,4.222222,4.333333,3.7,3.3,2.666667,3.444444,0,0.0909091,0.0909091,0.0909091,0.2857143,0.2857143,0.5714286,0.6428571,0.5,0.5,0.5714286,0.6428571,0.5714286,0.4285714,0.3571429,0.0714286,0.2857143,0.2142857,0.5,0.7142857,0.4285714,0,0.4285714,0.0714286,0.5,0,0
57,39.6875,0.3636364,13.0625,2.933333,2.266667,3.133333,4.4,3.533333,3.333333,3.933333,3.6,4.1875,3.9375,3.2,3.533333,0.1666667,0.1666667,0.2222222,0.2222222,0.3181818,0.1818182,0.2727273,0.6363636,0.3636364,0.3636364,0.5,0.3636364,0.4090909,0.5909091,0.5454546,0.2272727,0.3181818,0.3636364,0.4090909,0.5454546,0.3181818,0.0909091,0.2727273,0.0909091,0.3181818,0.0454545,0.0454545
58,39.33333,0.6666667,15.77778,3.5,3.5,3.4,4.1,3.5,3.4,4,3.8,4.1,3.6,3,3.6,0.0909091,0.0909091,0.0909091,0.0909091,0.5,0.4166667,0.3333333,0.6666667,0.5,0.5,0.6666667,0.5833333,0.4166667,0.6666667,0.5833333,0.1666667,0.5,0.6666667,0.75,0.6666667,0.5833333,0.0833333,0.3333333,0.0833333,0.75,0.0833333,0
59,35.22222,0.5789474,10.27778,3.055556,2.5,3.333333,4.611111,3.555556,3.277778,4.277778,3.611111,3.833333,3.777778,3.055556,3.888889,0.1818182,0.2,0.2,0.2,0.4736842,0.3157895,0.4210526,0.9473684,0.5789474,0.4736842,0.8421053,0.5789474,0.6842105,0.6315789,0.5789474,0.2631579,0.6315789,0.368421,0.5263158,0.5263158,0.368421,0,0.3157895,0.0526316,0.3157895,0.0526316,0.0526316
60,35.69231,0.5294118,11.38461,2.416667,2.333333,3.153846,4.416667,3.538461,3.076923,4.076923,3.538461,4.307693,4.230769,2.846154,3.5,0.0769231,0.0769231,0.2307692,0.1538462,0.1176471,0.1176471,0.2941177,0.6470588,0.4705882,0.2941177,0.5882353,0.3529412,0.4705882,0.5882353,0.5882353,0.1176471,0.3529412,0.2352941,0.6470588,0.4705882,0.4117647,0.0588235,0.1176471,0.1764706,0.4705882,0.1176471,0.0588235
61,37.78571,0.5882353,13.92857,2.428571,2.857143,2.5,4.428571,3.071429,3.214286,4.5,3.928571,4.692307,4.538462,3.153846,3.923077,0.0714286,0.1428571,0.1428571,0.1428571,0.1764706,0.3529412,0.1764706,0.7058824,0.3529412,0.3529412,0.7058824,0.5882353,0.5294118,0.7058824,0.6470588,0.2352941,0.5294118,0.2941177,0.4705882,0.6470588,0.4117647,0,0.1764706,0.0588235,0.4705882,0.1764706,0
62,37.75,0.625,11.83333,2.416667,3.083333,4,4.083333,4.083333,4,4.083333,3.833333,2.666667,2.583333,3.333333,4.166667,0.1538462,0.1538462,0.1538462,0.1538462,0.0625,0.3125,0.5,0.5625,0.5,0.5,0.5625,0.4375,0.3125,0.1875,0.125,0.25,0.5625,0.3125,0.5625,0.6875,0.625,0,0.0625,0.125,0.5625,0.125,0
63,39.25,0.9166667,14.58333,2.5,2.833333,3.666667,3.916667,3.5,3.75,3.916667,3.75,3.416667,3.083333,3.083333,3.5,0.0909091,0,0.1818182,0.0909091,0.25,0.3333333,0.5,0.75,0.5,0.6666667,0.75,0.6666667,0.5,0.3333333,0.25,0.1666667,0.3333333,0.0833333,0.5,0.75,0.3333333,0,0.1666667,0.1666667,0.3333333,0.0833333,0
71,37.5,0.5714286,14.25,1.75,1.5,2.75,4,4.25,4.25,3.75,4.5,4,3.5,2.5,4,0,0,0,0,0,0,0.1428571,0.4285714,0.5714286,0.5714286,0.4285714,0.5714286,0.2857143,0.4285714,0.2857143,0,0.2857143,0.2857143,0.7142857,0.7142857,0.4285714,0.1428571,0.2857143,0.1428571,0.5714286,0.1428571,0.1428571
72,37.92308,0.6666667,11.53846,3.076923,2.307692,3.153846,4.076923,3.615385,3.916667,4.166667,4.166667,3.916667,3.75,2.916667,4,0.1666667,0.1666667,0.1666667,0.1666667,0.4,0.0666667,0.2666667,0.8,0.5333334,0.6,0.6666667,0.7333333,0.6666667,0.4,0.3333333,0.2,0.6,0.4,0.7333333,0.7333333,0.6,0.0666667,0.1333333,0.1333333,0.4666667,0,0.1333333
73,36.18182,0.7333333,12.27273,2.666667,2.5,3.583333,4.416667,4,3.916667,4.5,4.083333,4.416667,3.833333,3.083333,3.833333,0.1,0.1,0.1,0.1,0.2,0.1333333,0.5333334,0.8,0.6,0.5333334,0.8,0.6,0.7333333,0.6666667,0.5333334,0.2666667,0.4666667,0.4,0.5333334,0.5333334,0.4666667,0,0.2,0.0666667,0.4666667,0,0
74,33.66667,0.6,9.666667,3,2.875,3.5,4,3.375,3.25,4,3.75,4,4,2.625,4,0.1428571,0.1428571,0.1666667,0.1428571,0.3,0.3,0.4,0.7,0.4,0.3,0.7,0.7,0.4,0.6,0.6,0.1,0.6,0.1,0.5,0.3,0.3,0,0,0.2,0.5,0,0.2
